Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability
mtd_ai,200,0.005066135537712685,0.3125,2225.4197091587957,0.05333333333333334,150,5,0.12888888888888891,0.4743642731602243,0.3248115995525834,0.0
mtd_ai,200,0.005066135537712685,0.36585365853658536,4170.732378364816,0.10666666666666667,150,5,0.12888888888888891,0.4743642731602243,0.3248115995525834,0.0
mtd_ai,200,0.005066135537712685,0.4090909090909091,5480.722231985652,0.15333333333333332,150,5,0.12888888888888891,0.4743642731602243,0.3248115995525834,0.0
mtd_ai,200,0.005066135537712685,0.46153846153846156,5834.288038390104,0.20666666666666667,150,5,0.12888888888888891,0.4743642731602243,0.3248115995525834,0.0
mtd_ai,200,0.005066135537712685,0.4934210526315789,6222.515574680034,0.25333333333333335,150,5,0.12888888888888891,0.4743642731602243,0.3248115995525834,0.0
mtd_ai,200,0.005067474883995647,0.20833333333333334,4252.86166371052,0.05333333333333334,150,5,0.13733333333333334,0.013943853553104589,0.021147252200087657,0.0
mtd_ai,200,0.005067474883995647,0.3125,4827.889291000014,0.10666666666666667,150,5,0.13733333333333334,0.013943853553104589,0.021147252200087657,0.0
mtd_ai,200,0.005067474883995647,0.39473684210526316,5359.715616452013,0.15333333333333332,150,5,0.13733333333333334,0.013943853553104589,0.021147252200087657,0.0
mtd_ai,200,0.005067474883995647,0.42857142857142855,6193.875052355871,0.20666666666666667,150,5,0.13733333333333334,0.013943853553104589,0.021147252200087657,0.0
mtd_ai,200,0.005067474883995647,0.47468354430379744,6468.10142498397,0.25333333333333335,150,5,0.13733333333333334,0.013943853553104589,0.021147252200087657,0.0
mtd_ai,200,0.005069777117177392,0.26785714285714285,3423.3213515781435,0.05333333333333334,150,5,0.132,0.4649808037406451,1.6011070588738463,0.0
mtd_ai,200,0.005069777117177392,0.40540540540540543,3967.8818815761483,0.10666666666666667,150,5,0.132,0.4649808037406451,1.6011070588738463,0.0
mtd_ai,200,0.005069777117177392,0.46875,4760.323486836385,0.15333333333333332,150,5,0.132,0.4649808037406451,1.6011070588738463,0.0
mtd_ai,200,0.005069777117177392,0.5,5326.977105622213,0.20666666666666667,150,5,0.132,0.4649808037406451,1.6011070588738463,0.0
mtd_ai,200,0.005069777117177392,0.5208333333333334,6120.834806092786,0.25333333333333335,150,5,0.132,0.4649808037406451,1.6011070588738463,0.0
mtd_ai,200,0.005056789148765419,0.21428571428571427,5243.373935617534,0.05333333333333334,150,5,0.13,0.053677028579086836,0.16006171159460403,0.0
mtd_ai,200,0.005056789148765419,0.30612244897959184,6238.395461458817,0.10666666666666667,150,5,0.13,0.053677028579086836,0.16006171159460403,0.0
mtd_ai,200,0.005056789148765419,0.39473684210526316,6541.54695382878,0.15333333333333332,150,5,0.13,0.053677028579086836,0.16006171159460403,0.0
mtd_ai,200,0.005056789148765419,0.4411764705882353,7300.797756966405,0.20666666666666667,150,5,0.13,0.053677028579086836,0.16006171159460403,0.0
mtd_ai,200,0.005056789148765419,0.4934210526315789,7576.9665652698795,0.25333333333333335,150,5,0.13,0.053677028579086836,0.16006171159460403,0.0
mtd_ai,200,0.005057702044831364,0.39473684210526316,1607.9780437230388,0.05333333333333334,150,5,0.11111111111111109,0.12172925147177771,0.1873909373715912,0.0
mtd_ai,200,0.005057702044831364,0.3488372093023256,4480.599931367189,0.10666666666666667,150,5,0.11111111111111109,0.12172925147177771,0.1873909373715912,0.0
mtd_ai,200,0.005057702044831364,0.4166666666666667,5184.776524484775,0.15333333333333332,150,5,0.11111111111111109,0.12172925147177771,0.1873909373715912,0.0
mtd_ai,200,0.005057702044831364,0.45454545454545453,5940.764535459838,0.20666666666666667,150,5,0.11111111111111109,0.12172925147177771,0.1873909373715912,0.0
mtd_ai,200,0.005057702044831364,0.45180722891566266,7277.633916740664,0.25333333333333335,150,5,0.11111111111111109,0.12172925147177771,0.1873909373715912,0.0
mtd_ai,200,0.005071312122250832,0.4411764705882353,1290.7216916298667,0.05333333333333334,150,5,0.14211111111111113,67.43804401965158,6.353605690350548,0.0
mtd_ai,200,0.005071312122250832,0.39473684210526316,3039.878182729822,0.10666666666666667,150,5,0.14211111111111113,67.43804401965158,6.353605690350548,0.0
mtd_ai,200,0.005071312122250832,0.46875,3691.785809535708,0.15333333333333332,150,5,0.14211111111111113,67.43804401965158,6.353605690350548,0.0
mtd_ai,200,0.005071312122250832,0.4838709677419355,4778.758009256692,0.20666666666666667,150,5,0.14211111111111113,67.43804401965158,6.353605690350548,0.0
mtd_ai,200,0.005071312122250832,0.487012987012987,6040.875100006019,0.25333333333333335,150,5,0.14211111111111113,67.43804401965158,6.353605690350548,0.0
mtd_ai,200,0.00505823500014697,0.35714285714285715,2102.818695408423,0.05333333333333334,150,5,0.10666666666666667,0.8235668393173878,0.6863442592487184,0.0
mtd_ai,200,0.00505823500014697,0.39473684210526316,3660.388614375951,0.10666666666666667,150,5,0.10666666666666667,0.8235668393173878,0.6863442592487184,0.0
mtd_ai,200,0.00505823500014697,0.4166666666666667,5163.095399602227,0.15333333333333332,150,5,0.10666666666666667,0.8235668393173878,0.6863442592487184,0.0
mtd_ai,200,0.00505823500014697,0.45454545454545453,5698.393796991418,0.20666666666666667,150,5,0.10666666666666667,0.8235668393173878,0.6863442592487184,0.0
mtd_ai,200,0.00505823500014697,0.44642857142857145,7242.11872792756,0.25333333333333335,150,5,0.10666666666666667,0.8235668393173878,0.6863442592487184,0.0
