Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability
NoMTD,200,0,0.5,472.7898644097155,0.1,25,5,0.7735714285714286,3.5646738614325946,6.622406200201014,0
NoMTD,200,0,0.625,771.5786610781245,0.2,25,5,0.7735714285714286,3.5646738614325946,6.622406200201014,0
NoMTD,200,0,0.75,1176.69304698347,0.3,25,5,0.7735714285714286,3.5646738614325946,6.622406200201014,0
NoMTD,200,0,0.7142857142857143,1710.451264182479,0.4,25,5,0.7735714285714286,3.5646738614325946,6.622406200201014,0
NoMTD,200,0,0.78125,1926.855886402589,0.5,25,5,0.7735714285714286,3.5646738614325946,6.622406200201014,0
NoMTD,200,0,0.7894736842105263,2063.988781669859,0.6,25,5,0.7735714285714286,3.5646738614325946,6.622406200201014,0
NoMTD,200,0,0.8333333333333334,2421.5132740052222,0.7,25,5,0.7735714285714286,3.5646738614325946,6.622406200201014,0
NoMTD,200,0,0.8333333333333334,2734.3591654314914,0.8,25,5,0.7735714285714286,3.5646738614325946,6.622406200201014,0
NoMTD,200,0,0.5,503.28465006717937,0.1,25,5,0.7735714285714286,0.4288882946151459,1.5617588098078885,0
NoMTD,200,0,0.625,829.5793659064905,0.2,25,5,0.7735714285714286,0.4288882946151459,1.5617588098078885,0
NoMTD,200,0,0.6818181818181818,1162.2121408591565,0.3,25,5,0.7735714285714286,0.4288882946151459,1.5617588098078885,0
NoMTD,200,0,0.7142857142857143,1591.9911701654,0.4,25,5,0.7735714285714286,0.4288882946151459,1.5617588098078885,0
NoMTD,200,0,0.78125,1791.99368855183,0.5,25,5,0.7735714285714286,0.4288882946151459,1.5617588098078885,0
NoMTD,200,0,0.7894736842105263,1959.036440951268,0.6,25,5,0.7735714285714286,0.4288882946151459,1.5617588098078885,0
NoMTD,200,0,0.7954545454545454,2618.6016859903757,0.7,25,5,0.7735714285714286,0.4288882946151459,1.5617588098078885,0
NoMTD,200,0,0.8,2777.7385361291654,0.8,25,5,0.7735714285714286,0.4288882946151459,1.5617588098078885,0
NoMTD,200,0,0.5,464.85555451134735,0.1,25,5,0.7735714285714286,1.5968807255445505,5.26927865006083,0
NoMTD,200,0,0.625,801.8718535016523,0.2,25,5,0.7735714285714286,1.5968807255445505,5.26927865006083,0
NoMTD,200,0,0.75,1263.2936616250445,0.3,25,5,0.7735714285714286,1.5968807255445505,5.26927865006083,0
NoMTD,200,0,0.7692307692307693,1518.2723188193966,0.4,25,5,0.7735714285714286,1.5968807255445505,5.26927865006083,0
NoMTD,200,0,0.8333333333333334,1787.9093018435397,0.5,25,5,0.7735714285714286,1.5968807255445505,5.26927865006083,0
NoMTD,200,0,0.8333333333333334,1961.2423189609453,0.6,25,5,0.7735714285714286,1.5968807255445505,5.26927865006083,0
NoMTD,200,0,0.7954545454545454,2418.624010376429,0.7,25,5,0.7735714285714286,1.5968807255445505,5.26927865006083,0
NoMTD,200,0,0.8,2772.7406838555967,0.8,25,5,0.7735714285714286,1.5968807255445505,5.26927865006083,0
NoMTD,200,0,0.4166666666666667,544.2750950266201,0.1,25,5,0.7735714285714286,0.31860594580688834,0.34583343613232076,0
NoMTD,200,0,0.5555555555555556,1168.7248889841264,0.2,25,5,0.7735714285714286,0.31860594580688834,0.34583343613232076,0
NoMTD,200,0,0.6818181818181818,1271.9094123574616,0.3,25,5,0.7735714285714286,0.31860594580688834,0.34583343613232076,0
NoMTD,200,0,0.7142857142857143,1559.1425766277384,0.4,25,5,0.7735714285714286,0.31860594580688834,0.34583343613232076,0
NoMTD,200,0,0.78125,1760.2331253952996,0.5,25,5,0.7735714285714286,0.31860594580688834,0.34583343613232076,0
NoMTD,200,0,0.75,2105.88472853818,0.6,25,5,0.7735714285714286,0.31860594580688834,0.34583343613232076,0
NoMTD,200,0,0.7954545454545454,2236.72808263283,0.7,25,5,0.7735714285714286,0.31860594580688834,0.34583343613232076,0
NoMTD,200,0,0.8,2840.7025627005905,0.8,25,5,0.7735714285714286,0.31860594580688834,0.34583343613232076,0
NoMTD,200,0,0.625,347.78806969292776,0.1,25,5,0.7735714285714286,0.3536250480599335,1.3863698116742753,0
NoMTD,200,0,0.7142857142857143,875.2258114286838,0.2,25,5,0.7735714285714286,0.3536250480599335,1.3863698116742753,0
NoMTD,200,0,0.8333333333333334,1154.6550646143946,0.3,25,5,0.7735714285714286,0.3536250480599335,1.3863698116742753,0
NoMTD,200,0,0.8333333333333334,1350.9298756671571,0.4,25,5,0.7735714285714286,0.3536250480599335,1.3863698116742753,0
NoMTD,200,0,0.8928571428571429,1681.9327707520993,0.5,25,5,0.7735714285714286,0.3536250480599335,1.3863698116742753,0
NoMTD,200,0,0.8823529411764706,2087.463260339888,0.6,25,5,0.7735714285714286,0.3536250480599335,1.3863698116742753,0
NoMTD,200,0,0.9210526315789473,2464.0696792373515,0.7,25,5,0.7735714285714286,0.3536250480599335,1.3863698116742753,0
NoMTD,200,0,0.9090909090909091,2630.7812967639834,0.8,25,5,0.7735714285714286,0.3536250480599335,1.3863698116742753,0
NoMTD,200,0,0.625,342.1261369124322,0.1,25,5,0.7735714285714286,1.8334191152334733,2.7124562223286053,0
NoMTD,200,0,0.625,932.2178295220144,0.2,25,5,0.7735714285714286,1.8334191152334733,2.7124562223286053,0
NoMTD,200,0,0.75,1102.2880665301932,0.3,25,5,0.7735714285714286,1.8334191152334733,2.7124562223286053,0
