Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,total_number_of_ports,attack_path_exposure,ROA,risk,shortest_path_variability
NoMTD,200,0,3.7,8.093403726840046,0.05333333333333334,150,1058,0.870925925925926,0.4870418142773295,2.0758601337384976,0
NoMTD,200,0,1.85,8.614134106695378,0.10666666666666667,150,1058,0.870925925925926,0.4870418142773295,2.0758601337384976,0
NoMTD,200,0,1.3214285714285714,8.470913385866803,0.15333333333333332,150,1058,0.870925925925926,0.4870418142773295,2.0758601337384976,0
NoMTD,200,0,1.0,8.805032430575801,0.20666666666666667,150,1058,0.870925925925926,0.4870418142773295,2.0758601337384976,0
NoMTD,200,0,4.111111111111111,7.862313250027768,0.05333333333333334,150,1058,0.870925925925926,0.5071983590363079,2.1649818164505334,0
NoMTD,200,0,2.0555555555555554,7.950773501202569,0.10666666666666667,150,1058,0.870925925925926,0.5071983590363079,2.1649818164505334,0
NoMTD,200,0,1.4230769230769231,8.24166275069224,0.15333333333333332,150,1058,0.870925925925926,0.5071983590363079,2.1649818164505334,0
NoMTD,200,0,1.0,8.632918563681002,0.20666666666666667,150,1058,0.870925925925926,0.5071983590363079,2.1649818164505334,0
NoMTD,200,0,3.3636363636363638,8.340427055099001,0.05333333333333334,150,1058,0.870925925925926,0.5325854159262323,1.78437215036867,0
NoMTD,200,0,1.7619047619047619,9.060486914350156,0.10666666666666667,150,1058,0.870925925925926,0.5325854159262323,1.78437215036867,0
NoMTD,200,0,1.3214285714285714,8.536030042398181,0.15333333333333332,150,1058,0.870925925925926,0.5325854159262323,1.78437215036867,0
NoMTD,200,0,1.0,8.762218683399635,0.20666666666666667,150,1058,0.870925925925926,0.5325854159262323,1.78437215036867,0
NoMTD,200,0,3.3636363636363638,8.452023159578053,0.05333333333333334,150,1058,0.870925925925926,0.4940622877439876,2.18854590673443,0
NoMTD,200,0,1.85,8.832660415626968,0.10666666666666667,150,1058,0.870925925925926,0.4940622877439876,2.18854590673443,0
NoMTD,200,0,1.2333333333333334,8.443428290240462,0.15333333333333332,150,1058,0.870925925925926,0.4940622877439876,2.18854590673443,0
NoMTD,200,0,0.9024390243902439,8.713012256667184,0.20666666666666667,150,1058,0.870925925925926,0.4940622877439876,2.18854590673443,0
NoMTD,200,0,3.0833333333333335,9.01507119568472,0.05333333333333334,150,1058,0.870925925925926,0.1269902065819816,0.5421705932873424,0
NoMTD,200,0,1.7619047619047619,9.116947933038084,0.10666666666666667,150,1058,0.870925925925926,0.1269902065819816,0.5421705932873424,0
NoMTD,200,0,1.3214285714285714,8.903563525948126,0.15333333333333332,150,1058,0.870925925925926,0.1269902065819816,0.5421705932873424,0
NoMTD,200,0,1.0277777777777777,8.66503289413426,0.20666666666666667,150,1058,0.870925925925926,0.1269902065819816,0.5421705932873424,0
NoMTD,200,0,3.7,7.93902099611165,0.05333333333333334,150,1058,0.870925925925926,2.8224646947094527,6.6320481828307045,0
NoMTD,200,0,1.9473684210526316,8.179265406355578,0.10666666666666667,150,1058,0.870925925925926,2.8224646947094527,6.6320481828307045,0
NoMTD,200,0,1.4230769230769231,8.114337650657271,0.15333333333333332,150,1058,0.870925925925926,2.8224646947094527,6.6320481828307045,0
NoMTD,200,0,1.0571428571428572,8.198833515113455,0.20666666666666667,150,1058,0.870925925925926,2.8224646947094527,6.6320481828307045,0
NoMTD,200,0,2.8461538461538463,9.079871998077834,0.05333333333333334,150,1058,0.870925925925926,0.6264816444267649,2.3101892326104956,0
NoMTD,200,0,1.608695652173913,8.996401448984383,0.10666666666666667,150,1058,0.870925925925926,0.6264816444267649,2.3101892326104956,0
NoMTD,200,0,1.2333333333333334,8.647775459799362,0.15333333333333332,150,1058,0.870925925925926,0.6264816444267649,2.3101892326104956,0
NoMTD,200,0,0.9736842105263158,8.743571040206824,0.20666666666666667,150,1058,0.870925925925926,0.6264816444267649,2.3101892326104956,0
NoMTD,200,0,3.0833333333333335,8.610102838572073,0.05333333333333334,150,1058,0.870925925925926,0.707479415225159,3.1389344065147395,0
NoMTD,200,0,1.7619047619047619,8.230109918430855,0.10666666666666667,150,1058,0.870925925925926,0.707479415225159,3.1389344065147395,0
NoMTD,200,0,1.3214285714285714,8.530507634572599,0.15333333333333332,150,1058,0.870925925925926,0.707479415225159,3.1389344065147395,0
NoMTD,200,0,1.0277777777777777,8.597943620858143,0.20666666666666667,150,1058,0.870925925925926,0.707479415225159,3.1389344065147395,0
NoMTD,200,0,3.7,7.889836126011675,0.05333333333333334,150,1058,0.870925925925926,2.2181823144458943,1.3657151800291603,0
NoMTD,200,0,1.9473684210526316,8.521510674441807,0.10666666666666667,150,1058,0.870925925925926,2.2181823144458943,1.3657151800291603,0
NoMTD,200,0,1.4230769230769231,8.817587948771687,0.15333333333333332,150,1058,0.870925925925926,2.2181823144458943,1.3657151800291603,0
NoMTD,200,0,1.0,8.684773914362014,0.20666666666666667,150,1058,0.870925925925926,2.2181823144458943,1.3657151800291603,0
NoMTD,200,0,4.111111111111111,8.24502525250772,0.05333333333333334,150,1058,0.870925925925926,3.669990800511962,3.310657482463772,0
NoMTD,200,0,2.176470588235294,8.364526703945907,0.10666666666666667,150,1058,0.870925925925926,3.669990800511962,3.310657482463772,0
NoMTD,200,0,1.5416666666666667,7.971495317476757,0.15333333333333332,150,1058,0.870925925925926,3.669990800511962,3.310657482463772,0
NoMTD,200,0,1.088235294117647,8.461457854070277,0.20666666666666667,150,1058,0.870925925925926,3.669990800511962,3.310657482463772,0
NoMTD,200,0,3.3636363636363638,7.926874850741819,0.05333333333333334,150,1058,0.870925925925926,0.8167055408596279,2.89079126418313,0
NoMTD,200,0,1.608695652173913,8.369351903730065,0.10666666666666667,150,1058,0.870925925925926,0.8167055408596279,2.89079126418313,0
NoMTD,200,0,1.15625,8.73054325645543,0.15333333333333332,150,1058,0.870925925925926,0.8167055408596279,2.89079126418313,0
NoMTD,200,0,0.8409090909090909,8.979776463924985,0.20666666666666667,150,1058,0.870925925925926,0.8167055408596279,2.89079126418313,0
NoMTD,200,0,3.3636363636363638,8.894348483771122,0.05333333333333334,150,1058,0.870925925925926,1.575828041634778,2.605168387840116,0
NoMTD,200,0,1.7619047619047619,8.988595213402434,0.10666666666666667,150,1058,0.870925925925926,1.575828041634778,2.605168387840116,0
NoMTD,200,0,1.3214285714285714,8.924916826792868,0.15333333333333332,150,1058,0.870925925925926,1.575828041634778,2.605168387840116,0
NoMTD,200,0,1.0277777777777777,8.701012791840279,0.20666666666666667,150,1058,0.870925925925926,1.575828041634778,2.605168387840116,0
NoMTD,200,0,4.111111111111111,7.860325690239048,0.05333333333333334,150,1058,0.870925925925926,1.21641298623333,1.5739117956334554,0
NoMTD,200,0,1.7619047619047619,8.684104677517535,0.10666666666666667,150,1058,0.870925925925926,1.21641298623333,1.5739117956334554,0
NoMTD,200,0,1.2758620689655173,8.387894085809233,0.15333333333333332,150,1058,0.870925925925926,1.21641298623333,1.5739117956334554,0
NoMTD,200,0,0.9736842105263158,8.640214398121769,0.20666666666666667,150,1058,0.870925925925926,1.21641298623333,1.5739117956334554,0
NoMTD,200,0,4.625,7.262662127937472,0.05333333333333334,150,1058,0.870925925925926,0.7756804861936331,2.229992408110442,0
NoMTD,200,0,2.176470588235294,7.686132642145215,0.10666666666666667,150,1058,0.870925925925926,0.7756804861936331,2.229992408110442,0
NoMTD,200,0,1.4230769230769231,7.966118215068893,0.15333333333333332,150,1058,0.870925925925926,0.7756804861936331,2.229992408110442,0
NoMTD,200,0,1.0571428571428572,8.535645648035896,0.20666666666666667,150,1058,0.870925925925926,0.7756804861936331,2.229992408110442,0
NoMTD,200,0,3.7,7.873025529225353,0.05333333333333334,150,1058,0.870925925925926,1.035474151301053,2.905445743448768,0
NoMTD,200,0,1.7619047619047619,8.186346905186848,0.10666666666666667,150,1058,0.870925925925926,1.035474151301053,2.905445743448768,0
NoMTD,200,0,1.1935483870967742,8.413620389593335,0.15333333333333332,150,1058,0.870925925925926,1.035474151301053,2.905445743448768,0
NoMTD,200,0,0.9487179487179487,8.728707814152036,0.20666666666666667,150,1058,0.870925925925926,1.035474151301053,2.905445743448768,0
NoMTD,200,0,4.111111111111111,7.88524596194305,0.05333333333333334,150,1058,0.870925925925926,1.816065715851001,5.156091258177296,0
NoMTD,200,0,1.9473684210526316,7.975102284825004,0.10666666666666667,150,1058,0.870925925925926,1.816065715851001,5.156091258177296,0
NoMTD,200,0,1.3703703703703705,8.307137585135626,0.15333333333333332,150,1058,0.870925925925926,1.816065715851001,5.156091258177296,0
NoMTD,200,0,1.0571428571428572,8.454398697214645,0.20666666666666667,150,1058,0.870925925925926,1.816065715851001,5.156091258177296,0
NoMTD,200,0,3.7,7.7772223716169915,0.05333333333333334,150,1058,0.870925925925926,0.02028366106709185,0.0726871472635255,0
NoMTD,200,0,1.9473684210526316,8.36983211618927,0.10666666666666667,150,1058,0.870925925925926,0.02028366106709185,0.0726871472635255,0
NoMTD,200,0,1.4230769230769231,7.937188630166646,0.15333333333333332,150,1058,0.870925925925926,0.02028366106709185,0.0726871472635255,0
NoMTD,200,0,1.0277777777777777,8.430268216827857,0.20666666666666667,150,1058,0.870925925925926,0.02028366106709185,0.0726871472635255,0
NoMTD,200,0,4.625,7.287725396766142,0.05333333333333334,150,1058,0.870925925925926,0.30222706568323526,1.206573210865516,0
NoMTD,200,0,1.9473684210526316,7.558834799822649,0.10666666666666667,150,1058,0.870925925925926,0.30222706568323526,1.206573210865516,0
NoMTD,200,0,1.4230769230769231,8.09679232819965,0.15333333333333332,150,1058,0.870925925925926,0.30222706568323526,1.206573210865516,0
NoMTD,200,0,1.088235294117647,8.299606415159104,0.20666666666666667,150,1058,0.870925925925926,0.30222706568323526,1.206573210865516,0
NoMTD,200,0,3.7,7.914355388484013,0.05333333333333334,150,1058,0.870925925925926,0.16698535509440918,0.3907579360779151,0
NoMTD,200,0,2.0555555555555554,8.387988211716419,0.10666666666666667,150,1058,0.870925925925926,0.16698535509440918,0.3907579360779151,0
NoMTD,200,0,1.48,8.150963833830188,0.15333333333333332,150,1058,0.870925925925926,0.16698535509440918,0.3907579360779151,0
NoMTD,200,0,1.088235294117647,8.42602197035416,0.20666666666666667,150,1058,0.870925925925926,0.16698535509440918,0.3907579360779151,0
NoMTD,200,0,3.0833333333333335,8.02205944297433,0.05333333333333334,150,1058,0.870925925925926,0.4096610784775274,0.929100921802684,0
NoMTD,200,0,1.7619047619047619,8.017157852339386,0.10666666666666667,150,1058,0.870925925925926,0.4096610784775274,0.929100921802684,0
NoMTD,200,0,1.2758620689655173,8.373267681354218,0.15333333333333332,150,1058,0.870925925925926,0.4096610784775274,0.929100921802684,0
NoMTD,200,0,1.0,8.597828944378302,0.20666666666666667,150,1058,0.870925925925926,0.4096610784775274,0.929100921802684,0
NoMTD,200,0,4.111111111111111,8.086200860345416,0.05333333333333334,150,1058,0.870925925925926,0.2271336065500521,0.9538732685012979,0
NoMTD,200,0,1.9473684210526316,8.691751069547813,0.10666666666666667,150,1058,0.870925925925926,0.2271336065500521,0.9538732685012979,0
NoMTD,200,0,1.4230769230769231,8.72959100382901,0.15333333333333332,150,1058,0.870925925925926,0.2271336065500521,0.9538732685012979,0
NoMTD,200,0,1.0277777777777777,9.11537374399822,0.20666666666666667,150,1058,0.870925925925926,0.2271336065500521,0.9538732685012979,0
NoMTD,200,0,4.111111111111111,7.079866293004213,0.05333333333333334,150,1058,0.870925925925926,0.5466717987817411,0.5841743639285281,0
NoMTD,200,0,2.0555555555555554,7.9074208663291925,0.10666666666666667,150,1058,0.870925925925926,0.5466717987817411,0.5841743639285281,0
NoMTD,200,0,1.4230769230769231,8.17289569015456,0.15333333333333332,150,1058,0.870925925925926,0.5466717987817411,0.5841743639285281,0
NoMTD,200,0,1.088235294117647,8.549998423441451,0.20666666666666667,150,1058,0.870925925925926,0.5466717987817411,0.5841743639285281,0
NoMTD,200,0,3.7,7.826602044802199,0.05333333333333334,150,1058,0.870925925925926,0.42864162801579725,1.0313520500132125,0
NoMTD,200,0,1.7619047619047619,8.709117337728628,0.10666666666666667,150,1058,0.870925925925926,0.42864162801579725,1.0313520500132125,0
NoMTD,200,0,1.2758620689655173,8.612509677624159,0.15333333333333332,150,1058,0.870925925925926,0.42864162801579725,1.0313520500132125,0
NoMTD,200,0,1.0,8.513458277958525,0.20666666666666667,150,1058,0.870925925925926,0.42864162801579725,1.0313520500132125,0
NoMTD,200,0,4.111111111111111,7.828944291669203,0.05333333333333334,150,1058,0.870925925925926,0.42256647660864327,1.6928441317657081,0
NoMTD,200,0,1.9473684210526316,8.446908234954,0.10666666666666667,150,1058,0.870925925925926,0.42256647660864327,1.6928441317657081,0
NoMTD,200,0,1.3703703703703705,8.22552841510987,0.15333333333333332,150,1058,0.870925925925926,0.42256647660864327,1.6928441317657081,0
NoMTD,200,0,1.0571428571428572,8.306119259324733,0.20666666666666667,150,1058,0.870925925925926,0.42256647660864327,1.6928441317657081,0
NoMTD,200,0,3.0833333333333335,8.242545656874162,0.05333333333333334,150,1058,0.870925925925926,0.10888234176989559,0.4541587349718422,0
NoMTD,200,0,1.7619047619047619,8.051585273845575,0.10666666666666667,150,1058,0.870925925925926,0.10888234176989559,0.4541587349718422,0
NoMTD,200,0,1.3214285714285714,8.176383052561354,0.15333333333333332,150,1058,0.870925925925926,0.10888234176989559,0.4541587349718422,0
NoMTD,200,0,1.0277777777777777,8.64314898604577,0.20666666666666667,150,1058,0.870925925925926,0.10888234176989559,0.4541587349718422,0
NoMTD,200,0,2.8461538461538463,8.817990872253741,0.05333333333333334,150,1058,0.870925925925926,0.941238305338552,2.881956142511673,0
NoMTD,200,0,1.5416666666666667,9.39325302984981,0.10666666666666667,150,1058,0.870925925925926,0.941238305338552,2.881956142511673,0
NoMTD,200,0,1.1935483870967742,9.176593850027054,0.15333333333333332,150,1058,0.870925925925926,0.941238305338552,2.881956142511673,0
NoMTD,200,0,0.9487179487179487,8.748179460515741,0.20666666666666667,150,1058,0.870925925925926,0.941238305338552,2.881956142511673,0
NoMTD,200,0,4.111111111111111,6.947435525027477,0.05333333333333334,150,1058,0.870925925925926,1.6562324937207387,1.0075359160118074,0
NoMTD,200,0,2.176470588235294,7.778766954785023,0.10666666666666667,150,1058,0.870925925925926,1.6562324937207387,1.0075359160118074,0
NoMTD,200,0,1.5416666666666667,8.233600502734491,0.15333333333333332,150,1058,0.870925925925926,1.6562324937207387,1.0075359160118074,0
NoMTD,200,0,1.15625,8.53309414148093,0.20666666666666667,150,1058,0.870925925925926,1.6562324937207387,1.0075359160118074,0
NoMTD,200,0,2.642857142857143,8.940332826208737,0.05333333333333334,150,1058,0.870925925925926,1.21641298623333,1.5739117956334554,0
NoMTD,200,0,1.6818181818181819,9.27790808556677,0.10666666666666667,150,1058,0.870925925925926,1.21641298623333,1.5739117956334554,0
NoMTD,200,0,1.2758620689655173,8.969166169148515,0.15333333333333332,150,1058,0.870925925925926,1.21641298623333,1.5739117956334554,0
NoMTD,200,0,0.9736842105263158,9.321570887177161,0.20666666666666667,150,1058,0.870925925925926,1.21641298623333,1.5739117956334554,0
NoMTD,200,0,4.111111111111111,7.7752944809708,0.05333333333333334,150,1058,0.870925925925926,0.8051125524277274,3.4584992422843506,0
NoMTD,200,0,1.7619047619047619,8.703349755666503,0.10666666666666667,150,1058,0.870925925925926,0.8051125524277274,3.4584992422843506,0
NoMTD,200,0,1.3214285714285714,8.689728658703357,0.15333333333333332,150,1058,0.870925925925926,0.8051125524277274,3.4584992422843506,0
NoMTD,200,0,1.0,8.808406546710362,0.20666666666666667,150,1058,0.870925925925926,0.8051125524277274,3.4584992422843506,0
NoMTD,200,0,3.0833333333333335,8.688599911873034,0.05333333333333334,150,1058,0.870925925925926,0.49997301860148147,1.161175441021761,0
NoMTD,200,0,1.6818181818181819,9.295966261887845,0.10666666666666667,150,1058,0.870925925925926,0.49997301860148147,1.161175441021761,0
NoMTD,200,0,1.2758620689655173,8.885308244003177,0.15333333333333332,150,1058,0.870925925925926,0.49997301860148147,1.161175441021761,0
NoMTD,200,0,1.0,9.107145754299621,0.20666666666666667,150,1058,0.870925925925926,0.49997301860148147,1.161175441021761,0
NoMTD,200,0,4.625,7.2662654828418916,0.05333333333333334,150,1058,0.870925925925926,0.9705312953169847,3.5105033001394563,0
NoMTD,200,0,2.0555555555555554,7.912595295386427,0.10666666666666667,150,1058,0.870925925925926,0.9705312953169847,3.5105033001394563,0
NoMTD,200,0,1.48,8.049393852902337,0.15333333333333332,150,1058,0.870925925925926,0.9705312953169847,3.5105033001394563,0
NoMTD,200,0,1.121212121212121,8.474147740749453,0.20666666666666667,150,1058,0.870925925925926,0.9705312953169847,3.5105033001394563,0
NoMTD,200,0,3.7,8.051583264845554,0.05333333333333334,150,1058,0.870925925925926,2.0663273835768257,5.441574924063142,0
NoMTD,200,0,1.85,8.706127808031766,0.10666666666666667,150,1058,0.870925925925926,2.0663273835768257,5.441574924063142,0
NoMTD,200,0,1.3703703703703705,8.445097801530698,0.15333333333333332,150,1058,0.870925925925926,2.0663273835768257,5.441574924063142,0
NoMTD,200,0,1.0,8.621023081400185,0.20666666666666667,150,1058,0.870925925925926,2.0663273835768257,5.441574924063142,0
NoMTD,200,0,4.111111111111111,7.830579868803014,0.05333333333333334,150,1058,0.870925925925926,0.44913360664109864,1.9998961445234342,0
NoMTD,200,0,1.9473684210526316,8.506269851479033,0.10666666666666667,150,1058,0.870925925925926,0.44913360664109864,1.9998961445234342,0
NoMTD,200,0,1.4230769230769231,8.638834522414546,0.15333333333333332,150,1058,0.870925925925926,0.44913360664109864,1.9998961445234342,0
NoMTD,200,0,1.0571428571428572,8.44949140638509,0.20666666666666667,150,1058,0.870925925925926,0.44913360664109864,1.9998961445234342,0
NoMTD,200,0,3.3636363636363638,8.668020489917247,0.05333333333333334,150,1058,0.870925925925926,1.2978468148270208,2.3758363961563287,0
NoMTD,200,0,1.85,8.24273743798082,0.10666666666666667,150,1058,0.870925925925926,1.2978468148270208,2.3758363961563287,0
NoMTD,200,0,1.3214285714285714,8.768774057037398,0.15333333333333332,150,1058,0.870925925925926,1.2978468148270208,2.3758363961563287,0
NoMTD,200,0,1.0277777777777777,8.93845749019949,0.20666666666666667,150,1058,0.870925925925926,1.2978468148270208,2.3758363961563287,0
NoMTD,200,0,3.7,7.900272845566601,0.05333333333333334,150,1058,0.870925925925926,0.35552172489363715,1.4920906796669144,0
NoMTD,200,0,1.85,8.668295750543464,0.10666666666666667,150,1058,0.870925925925926,0.35552172489363715,1.4920906796669144,0
NoMTD,200,0,1.3703703703703705,8.42649479781174,0.15333333333333332,150,1058,0.870925925925926,0.35552172489363715,1.4920906796669144,0
NoMTD,200,0,1.0277777777777777,8.430658948484913,0.20666666666666667,150,1058,0.870925925925926,0.35552172489363715,1.4920906796669144,0
NoMTD,200,0,4.111111111111111,7.738113123062246,0.05333333333333334,150,1058,0.870925925925926,0.07250183616888145,0.2250164974409439,0
NoMTD,200,0,2.176470588235294,7.519463591265341,0.10666666666666667,150,1058,0.870925925925926,0.07250183616888145,0.2250164974409439,0
NoMTD,200,0,1.5416666666666667,7.736858595692981,0.15333333333333332,150,1058,0.870925925925926,0.07250183616888145,0.2250164974409439,0
NoMTD,200,0,1.088235294117647,8.074463240079508,0.20666666666666667,150,1058,0.870925925925926,0.07250183616888145,0.2250164974409439,0
