Name,mtd_interval,MEF,ASR,time_to_compromise,host_compromise_ratio,network_size,exposed_endpoints,attack_path_exposure,ROA,risk,shortest_path_variability
mtd_ai,200,0.005035607984580942,0.3409090909090909,2329.2611048208673,0.05333333333333334,150,5,0.17844444444444443,0.03187540568733278,0.11494787043469387,0.0
mtd_ai,200,0.005035607984580942,0.375,3694.2128008356617,0.10666666666666667,150,5,0.17844444444444443,0.03187540568733278,0.11494787043469387,0.0
mtd_ai,200,0.005035607984580942,0.39473684210526316,5046.55707196024,0.15333333333333332,150,5,0.17844444444444443,0.03187540568733278,0.11494787043469387,0.0
mtd_ai,200,0.005035607984580942,0.43478260869565216,5797.155056560283,0.20666666666666667,150,5,0.17844444444444443,0.03187540568733278,0.11494787043469387,0.0
mtd_ai,200,0.005035607984580942,0.46875,6449.173552672672,0.25333333333333335,150,5,0.17844444444444443,0.03187540568733278,0.11494787043469387,0.0
mtd_ai,200,0.005033571980590193,0.3125,2258.381704517812,0.05333333333333334,150,5,0.18711111111111112,0.4190633897842485,1.5869763814533713,0.0
mtd_ai,200,0.005033571980590193,0.3,4624.386733076961,0.10666666666666667,150,5,0.18711111111111112,0.4190633897842485,1.5869763814533713,0.0
mtd_ai,200,0.005033571980590193,0.3629032258064516,5378.335600809514,0.15333333333333332,150,5,0.18711111111111112,0.4190633897842485,1.5869763814533713,0.0
mtd_ai,200,0.005033571980590193,0.39473684210526316,6206.4296208983305,0.20666666666666667,150,5,0.18711111111111112,0.4190633897842485,1.5869763814533713,0.0
mtd_ai,200,0.005033571980590193,0.42134831460674155,7052.435217204613,0.25333333333333335,150,5,0.18711111111111112,0.4190633897842485,1.5869763814533713,0.0
mtd_ai,200,0.00503150358314715,0.3125,2536.319196797327,0.05333333333333334,150,5,0.14400000000000002,0.8737211455941535,3.675491662617142,0.0
mtd_ai,200,0.00503150358314715,0.3409090909090909,4288.061506163873,0.10666666666666667,150,5,0.14400000000000002,0.8737211455941535,3.675491662617142,0.0
mtd_ai,200,0.00503150358314715,0.4017857142857143,5044.75836688703,0.15333333333333332,150,5,0.14400000000000002,0.8737211455941535,3.675491662617142,0.0
mtd_ai,200,0.00503150358314715,0.4225352112676056,6164.974900593275,0.20666666666666667,150,5,0.14400000000000002,0.8737211455941535,3.675491662617142,0.0
mtd_ai,200,0.00503150358314715,0.43103448275862066,7005.069758849671,0.25333333333333335,150,5,0.14400000000000002,0.8737211455941535,3.675491662617142,0.0
mtd_ai,200,0.005040546804519931,0.2777777777777778,2892.3758353251205,0.05333333333333334,150,5,0.13833333333333334,1.5443095133004923,4.193916512047715,0.0
mtd_ai,200,0.005040546804519931,0.35714285714285715,4027.911421511111,0.10666666666666667,150,5,0.13833333333333334,1.5443095133004923,4.193916512047715,0.0
mtd_ai,200,0.005040546804519931,0.4166666666666667,4683.7473010171525,0.15333333333333332,150,5,0.13833333333333334,1.5443095133004923,4.193916512047715,0.0
mtd_ai,200,0.005040546804519931,0.4411764705882353,5483.643449955427,0.20666666666666667,150,5,0.13833333333333334,1.5443095133004923,4.193916512047715,0.0
mtd_ai,200,0.005040546804519931,0.487012987012987,5876.66255279818,0.25333333333333335,150,5,0.13833333333333334,1.5443095133004923,4.193916512047715,0.0
mtd_ai,200,0.005032911671835862,0.28846153846153844,2313.281527023763,0.05333333333333334,150,5,0.17900000000000002,0.14815192677772288,0.20265032557477983,0.0
mtd_ai,200,0.005032911671835862,0.3333333333333333,4153.572542169117,0.10666666666666667,150,5,0.17900000000000002,0.14815192677772288,0.20265032557477983,0.0
mtd_ai,200,0.005032911671835862,0.375,5400.114904308746,0.15333333333333332,150,5,0.17900000000000002,0.14815192677772288,0.20265032557477983,0.0
mtd_ai,200,0.005032911671835862,0.4166666666666667,6043.767796883543,0.20666666666666667,150,5,0.17900000000000002,0.14815192677772288,0.20265032557477983,0.0
mtd_ai,200,0.005032911671835862,0.436046511627907,6903.763155177465,0.25333333333333335,150,5,0.17900000000000002,0.14815192677772288,0.20265032557477983,0.0
mtd_ai,200,0.005043822463680053,0.3125,2536.343896102003,0.05333333333333334,150,5,0.13666666666666666,4.0590786616112595,7.514536568935132,0.0
mtd_ai,200,0.005043822463680053,0.39473684210526316,3401.46867643114,0.10666666666666667,150,5,0.13666666666666666,4.0590786616112595,7.514536568935132,0.0
mtd_ai,200,0.005043822463680053,0.45918367346938777,3927.823138114566,0.15333333333333332,150,5,0.13666666666666666,4.0590786616112595,7.514536568935132,0.0
mtd_ai,200,0.005043822463680053,0.4838709677419355,4810.080803389718,0.20666666666666667,150,5,0.13666666666666666,4.0590786616112595,7.514536568935132,0.0
mtd_ai,200,0.005043822463680053,0.5208333333333334,5428.440197421358,0.25333333333333335,150,5,0.13666666666666666,4.0590786616112595,7.514536568935132,0.0
mtd_ai,200,0.00504171664823078,0.4166666666666667,1361.095247321228,0.05333333333333334,150,5,0.19911111111111113,1.7289209902509775,3.176738249860102,0.0
mtd_ai,200,0.00504171664823078,0.40540540540540543,3432.699703571492,0.10666666666666667,150,5,0.19911111111111113,1.7289209902509775,3.176738249860102,0.0
mtd_ai,200,0.00504171664823078,0.4787234042553192,3902.495268753855,0.15333333333333332,150,5,0.19911111111111113,1.7289209902509775,3.176738249860102,0.0
mtd_ai,200,0.00504171664823078,0.4918032786885246,4814.127012962317,0.20666666666666667,150,5,0.19911111111111113,1.7289209902509775,3.176738249860102,0.0
mtd_ai,200,0.00504171664823078,0.5136986301369864,5641.465610537096,0.25333333333333335,150,5,0.19911111111111113,1.7289209902509775,3.176738249860102,0.0
